date,floor,temperature,is_holiday,Seasonality_Features,Target
2024/1/6,12,13,TRUE,6,2.630116906
2024/1/6,13,13,TRUE,6,2.687832591
2024/1/6,14,13,TRUE,6,1.852101442
2024/1/6,15,13,TRUE,6,1.730093827
2024/1/6,16,13,TRUE,6,1.676877117
2024/1/6,17,13,TRUE,6,3.314668404
2024/1/6,18,13,TRUE,6,1.196361383
2024/1/6,19,13,TRUE,6,3.181542366
2024/1/6,20,13,TRUE,6,1.747525091
2024/1/6,21,13,TRUE,6,2.046616189
2024/1/6,22,13,TRUE,6,1.455296145
2024/1/6,23,13,TRUE,6,3.101303434
2024/1/6,24,13,TRUE,6,1.59835611
2024/1/6,25,13,TRUE,6,2.246359953
2024/1/6,26,13,TRUE,6,3.18859519
2024/1/7,1,5,FALSE,6,3.308523573
2024/1/7,2,5,FALSE,6,2.774158961
2024/1/7,3,5,FALSE,6,2.007036569
2024/1/7,4,5,FALSE,6,1.196361383
2024/1/7,5,5,FALSE,6,1.660696252
2024/1/7,6,5,FALSE,6,1.129283871
2024/1/7,7,5,FALSE,6,2.288614816
2024/1/7,8,5,FALSE,6,2.762798068
2024/1/7,9,5,FALSE,6,1.58764892
2024/1/7,10,5,FALSE,6,2.74498674
2024/1/7,11,5,FALSE,6,1.978827575
2024/1/7,12,5,FALSE,6,2.63741688
2024/1/7,13,5,FALSE,6,2.687066002
2024/1/7,14,5,FALSE,6,1.845684439
2024/1/7,15,5,FALSE,6,1.741560164
2024/1/7,16,5,FALSE,6,1.658342248
2024/1/7,17,5,FALSE,6,3.164153415
2024/1/7,18,5,FALSE,6,1.222958187
2024/1/7,19,5,FALSE,6,2.873468506
2024/1/7,20,5,FALSE,6,1.74949755
2024/1/7,21,5,FALSE,6,2.051452534
2024/1/7,22,5,FALSE,6,1.465580939
2024/1/7,23,5,FALSE,6,2.868388192
2024/1/7,24,5,FALSE,6,1.54446113
2024/1/7,25,5,FALSE,6,2.233614878
2024/1/7,26,5,FALSE,6,3.182566179
2024/1/8,1,9,FALSE,1,3.300155948
2024/1/8,2,9,FALSE,1,2.824699694
2024/1/8,3,9,FALSE,1,1.99821616
2024/1/8,4,9,FALSE,1,1.190896379
2024/1/8,5,9,FALSE,1,1.838087249
2024/1/8,6,9,FALSE,1,1.838633927
2024/1/8,7,9,FALSE,1,2.274550509
2024/1/8,8,9,FALSE,1,3.050518405
2024/1/8,9,9,FALSE,1,1.993544487
2024/1/8,10,9,FALSE,1,2.947193385
2024/1/8,11,9,FALSE,1,2.194030309
2024/1/8,12,9,FALSE,1,2.628285746
2024/1/8,13,9,FALSE,1,2.73699881
2024/1/8,14,9,FALSE,1,2.086432848
2024/1/8,15,9,FALSE,1,2.070939333
2024/1/8,16,9,FALSE,1,2.021238794
2024/1/8,17,9,FALSE,1,3.378611741
2024/1/8,18,9,FALSE,1,1.865198457
2024/1/8,19,9,FALSE,1,3.278799471
2024/1/8,20,9,FALSE,1,1.870337622
2024/1/8,21,9,FALSE,1,2.228899691
2024/1/8,22,9,FALSE,1,1.907190864
2024/1/8,23,9,FALSE,1,3.138046852
2024/1/8,24,9,FALSE,1,1.963616248
2024/1/8,25,9,FALSE,1,2.385629206
2024/1/8,26,9,FALSE,1,3.276365487
2024/1/9,1,13,FALSE,2,3.301271864
2024/1/9,2,13,FALSE,2,2.817222728
2024/1/9,3,13,FALSE,2,1.98485182
2024/1/9,4,13,FALSE,2,1.203571022
2024/1/9,5,13,FALSE,2,1.840814412
2024/1/9,6,13,FALSE,2,1.832032251
2024/1/9,7,13,FALSE,2,2.302008527
2024/1/9,8,13,FALSE,2,3.046980953
2024/1/9,9,13,FALSE,2,1.997440911
2024/1/9,10,13,FALSE,2,2.941930754
2024/1/9,11,13,FALSE,2,2.148060227
2024/1/9,12,13,FALSE,2,2.629126276
2024/1/9,13,13,FALSE,2,2.732816369
2024/1/9,14,13,FALSE,2,2.080687352
2024/1/9,15,13,FALSE,2,2.066314506
2024/1/9,16,13,FALSE,2,2.007036569
2024/1/9,17,13,FALSE,2,3.378653721
2024/1/9,18,13,FALSE,2,1.865198457
2024/1/9,19,13,FALSE,2,3.27242261
2024/1/9,20,13,FALSE,2,1.849972026
2024/1/9,21,13,FALSE,2,2.222067512
2024/1/9,22,13,FALSE,2,1.90954757
2024/1/9,23,13,FALSE,2,3.150404225
2024/1/9,24,13,FALSE,2,1.969018992
2024/1/9,25,13,FALSE,2,2.388496011
2024/1/9,26,13,FALSE,2,3.261442748
2024/1/10,1,7,FALSE,3,3.309755332
2024/1/10,2,7,FALSE,3,2.810845707
2024/1/10,3,7,FALSE,3,2.003605739
2024/1/10,4,7,FALSE,3,1.194545268
2024/1/10,5,7,FALSE,3,1.842985
2024/1/10,6,7,FALSE,3,1.832585877
2024/1/10,7,7,FALSE,3,2.282732805
2024/1/10,8,7,FALSE,3,3.037594666
2024/1/10,9,7,FALSE,3,1.999762655
2024/1/10,10,7,FALSE,3,3.012629817
2024/1/10,11,7,FALSE,3,2.06962295
2024/1/10,12,7,FALSE,3,2.631256292
2024/1/10,13,7,FALSE,3,2.73699881
2024/1/10,14,7,FALSE,3,2.088015391
2024/1/10,15,7,FALSE,3,2.068633047
2024/1/10,16,7,FALSE,3,2.023806344
2024/1/10,17,7,FALSE,3,3.379604256
2024/1/10,18,7,FALSE,3,1.861567568
2024/1/10,19,7,FALSE,3,3.278860993
2024/1/10,20,7,FALSE,3,1.858433102
2024/1/10,21,7,FALSE,3,2.234952083
2024/1/10,22,7,FALSE,3,1.905296879
